date;close;quote_asset_volume;num_trades;taker_buy_quote_asset_volume
1/10/2019;175.66;109337395.1;168492;53359971.7
2/10/2019;180.24;61530973.8;96660;31146275.94
3/10/2019;174.69;62001237.48;101114;29848620.57
4/10/2019;175.55;58470302.14;89655;31249755.46
5/10/2019;176.25;48647162.44;90341;25974848.89
6/10/2019;170.1;54241930.13;114662;25855508.57
7/10/2019;179.85;87617964.57;159802;47538485.16
8/10/2019;180.6;72432729.98;139925;35879440.88
9/10/2019;192.62;105551736.5;182290;55656345.7
10/10/2019;191.14;83367952.39;150166;43218136.09
11/10/2019;180.72;115872479.8;181427;56109324.69
12/10/2019;179.68;52895345.38;118775;26936589.74
13/10/2019;180.99;45067340.42;113448;22703924.65
14/10/2019;186.72;51494870.28;123915;26856962.92
15/10/2019;180.49;73998014.45;155734;36519397.83
16/10/2019;174.47;61180262.78;151051;30692249.72
17/10/2019;177.16;52578052.94;133295;27723058.42
18/10/2019;172.74;55285684.61;139612;26410422.95
19/10/2019;171.79;51269466.04;127763;26548317.23
20/10/2019;175.22;51654250.07;125469;27947258.53
21/10/2019;173.98;47204344.24;128045;24473074.19
22/10/2019;171.2;44176123.21;123180;21648645.78
23/10/2019;162.35;121126428.2;238790;56615958.41
24/10/2019;160.38;62419095.11;159778;32531887.34
25/10/2019;181.5;157496890.7;267143;83125683.12
26/10/2019;179.49;222906937.8;373782;113546883.1
27/10/2019;183.75;132329593.4;262415;70337311.66
28/10/2019;181.72;106933716.7;225343;54279347.88
29/10/2019;190.46;99024969.84;212841;50376777.28
30/10/2019;183.13;99508269.89;194946;48993402.73
31/10/2019;182.18;74696032.73;167038;38302299.77
1/11/2019;182.85;60092727.14;154534;31984647.88
2/11/2019;182.91;32936676.71;107048;16385817.1
3/11/2019;181.54;42260620.38;109861;21322878.29
4/11/2019;185.71;59357371.31;147624;32310789
5/11/2019;188.68;73036074.78;184562;37563350.67
6/11/2019;191.16;65471595.21;160110;33061667.07
7/11/2019;186.68;58150631.28;152881;29169549.3
8/11/2019;183.74;67305417.41;167904;32419070.56
9/11/2019;184.89;35441967.77;112521;18053843.38
10/11/2019;188.96;51648623.29;133008;26196034.44
11/11/2019;184.98;47746876.46;128079;23366849.5
12/11/2019;187.09;47636043.35;124488;24161522.43
13/11/2019;188.11;36936429.94;89631;18965818.25
14/11/2019;184.92;45523714.1;114266;21743851.28
15/11/2019;180;74217250.17;156868;35827558.08
16/11/2019;182.37;31378510.02;89596;15713912.23
17/11/2019;183.82;36509968.7;93753;18284470.26
18/11/2019;178.2;52985734.28;131823;24254035.08
19/11/2019;175.94;48414106.96;125824;24234933
20/11/2019;174.72;38001672.19;106534;18616351.33
